max_distance_distributions,max_distance_sketches
0.9217,0.9201
0.9991,0.9995
0.998,0.9987
0.9958,0.9957
0.9916,0.9907
0.9862,0.9847
0.9796,0.9784
1,1.0002
1,1
0.9998,0.9999
0.999,0.9992
0.9982,0.9985
0.9964,0.997
0.0312,0.031
0.0574,0.0577
0.5841,0.584
0.5345,0.5337
0.5,0.5001
0.4718,0.4718
0.451,0.451
0.4282,0.4283
0.8812,0.8804
0.8472,0.8473
0.8149,0.8143
0.7877,0.7878
0.7584,0.7585
0.7359,0.7353
0.9804,0.9799
0.9706,0.9703
0.9556,0.9555
0.9425,0.942
0.9271,0.9264
0.9081,0.9071
0.998,0.9987
0.9964,0.9971
0.9926,0.9931
0.9872,0.9866
0.981,0.9799
0.973,0.9724
1,1.0006
0.9998,1.0004
0.9996,1.0001
0.9982,0.9987
0.9968,0.9974
0.9948,0.9953
0.0289,0.0296
0.568,0.5679
0.5186,0.518
0.4825,0.4825
0.4525,0.4521
0.4327,0.4327
0.4063,0.4062
0.8582,0.8571
0.8239,0.8234
0.7897,0.7888
0.7622,0.7622
0.7321,0.7318
0.7102,0.7094
0.969,0.9684
0.9576,0.9567
0.9367,0.936
0.9206,0.9201
0.9027,0.9015
0.8833,0.882
0.9955,0.9957
0.9927,0.9925
0.987,0.9873
0.9794,0.979
0.9721,0.9707
0.962,0.9611
0.9998,0.9998
0.9991,0.9989
0.9979,0.998
0.9964,0.9962
0.9945,0.9945
0.9913,0.991
0.5507,0.5515
0.5013,0.5016
0.4642,0.4652
0.4342,0.4352
0.4144,0.4154
0.3873,0.3883
0.832,0.832
0.799,0.799
0.7656,0.7652
0.7382,0.7385
0.7081,0.7082
0.6861,0.6858
0.9575,0.9577
0.9418,0.9422
0.9204,0.9211
0.9047,0.9053
0.8847,0.8847
0.8634,0.8631
0.9925,0.993
0.9883,0.9885
0.9815,0.9823
0.972,0.9723
0.9639,0.9633
0.9516,0.9517
0.9994,1.0006
0.9983,0.9991
0.9966,0.9974
0.9942,0.995
0.9912,0.9919
0.9876,0.9878
0.0532,0.0537
0.088,0.0877
0.1184,0.1184
0.1391,0.1387
0.1669,0.1669
0.6739,0.6731
0.6367,0.6361
0.6007,0.5997
0.5624,0.5622
0.5445,0.5441
0.5396,0.5382
0.9564,0.9556
0.9358,0.9352
0.9058,0.905
0.8829,0.8825
0.8564,0.8551
0.8296,0.8282
0.9975,0.9968
0.9946,0.9936
0.9879,0.9871
0.9784,0.9771
0.9678,0.9661
0.9554,0.9543
1,0.9995
0.9999,0.9993
0.9997,0.999
0.9977,0.9971
0.9961,0.9954
0.9935,0.9926
0.0476,0.0477
0.0741,0.0737
0.1001,0.1002
0.1267,0.1266
0.6389,0.6383
0.6017,0.601
0.5659,0.5651
0.5263,0.5262
0.5102,0.5098
0.5039,0.5031
0.9325,0.9319
0.9077,0.9074
0.8771,0.877
0.8535,0.8534
0.8264,0.8258
0.7997,0.7987
0.9929,0.9923
0.9875,0.9868
0.9793,0.9785
0.968,0.9668
0.9533,0.9517
0.9404,0.9391
1,0.9998
0.9995,0.9992
0.9982,0.9979
0.9958,0.9956
0.9923,0.992
0.9876,0.9867
0.0336,0.0338
0.0618,0.0615
0.0943,0.0948
0.5942,0.5933
0.5568,0.5562
0.5198,0.5186
0.4808,0.4806
0.4641,0.4636
0.4598,0.4588
0.9019,0.9014
0.8752,0.8752
0.8413,0.8411
0.8172,0.8169
0.7893,0.7885
0.7629,0.7618
0.987,0.9862
0.9779,0.9772
0.9637,0.9634
0.9511,0.9501
0.934,0.9325
0.9205,0.9194
0.9994,0.999
0.9985,0.9977
0.9966,0.9955
0.9935,0.9926
0.9892,0.9879
0.9821,0.9805
0.0326,0.033
0.063,0.0633
0.5683,0.5682
0.5307,0.5304
0.4944,0.4939
0.4548,0.455
0.4374,0.4374
0.4325,0.4319
0.8768,0.8765
0.8496,0.8497
0.8163,0.8166
0.7903,0.7905
0.7626,0.7622
0.7349,0.7342
0.9808,0.9803
0.9693,0.9691
0.9531,0.9529
0.9374,0.9366
0.9163,0.9147
0.9025,0.9015
0.9988,0.9992
0.9967,0.9966
0.9936,0.9933
0.9891,0.9889
0.9841,0.9833
0.9762,0.975
0.0412,0.0419
0.5533,0.5527
0.5147,0.5142
0.4735,0.4728
0.4365,0.4365
0.4165,0.4163
0.4066,0.4056
0.8543,0.854
0.8253,0.8251
0.7887,0.7887
0.7629,0.7626
0.7346,0.7337
0.7077,0.7066
0.9689,0.9686
0.9563,0.9559
0.9393,0.9386
0.9222,0.9213
0.9007,0.8993
0.8864,0.8853
0.9968,0.9965
0.9937,0.9934
0.9889,0.9879
0.9826,0.9815
0.9749,0.9741
0.9654,0.9643
0.5385,0.538
0.496,0.4958
0.4574,0.4572
0.4221,0.4225
0.397,0.397
0.3794,0.3786
0.8311,0.8307
0.8011,0.8011
0.7645,0.7648
0.7385,0.7385
0.71,0.7097
0.6819,0.6813
0.9577,0.9569
0.9414,0.9413
0.9238,0.9234
0.905,0.904
0.8824,0.8809
0.8675,0.8663
0.9942,0.9939
0.9896,0.9892
0.9835,0.9826
0.9757,0.9749
0.9661,0.9653
0.9564,0.9552
0.0474,0.0476
0.0866,0.0861
0.1176,0.1167
0.1427,0.1421
0.1679,0.1671
0.682,0.6809
0.6371,0.6365
0.6009,0.6005
0.576,0.5758
0.5613,0.5604
0.5406,0.5393
0.9549,0.954
0.9349,0.9342
0.9108,0.9102
0.8828,0.8816
0.8565,0.8547
0.8357,0.8342
0.9983,0.9983
0.9946,0.9943
0.9891,0.9879
0.9813,0.9806
0.9696,0.9686
0.9571,0.9558
0.0424,0.0427
0.0798,0.0793
