max_distance_distributions,max_distance_sketches
0.0574,0.0573
0.5841,0.5851
0.5345,0.5349
0.5,0.4999
0.4718,0.4721
0.451,0.4497
0.4282,0.4289
0.8812,0.8829
0.8472,0.848
0.8149,0.8156
0.7877,0.7895
0.7584,0.7585
0.7359,0.7358
0.9804,0.9822
0.9706,0.9714
0.9556,0.9584
0.9425,0.945
0.9271,0.9274
0.9081,0.908
0.998,1.0005
0.9964,0.9985
0.9926,0.9913
0.9872,0.988
0.981,0.9818
0.973,0.9738
1,1.0015
0.9998,0.9989
0.9996,1.0001
0.9982,0.9969
0.9968,0.9969
0.9948,0.9945
0.0289,0.0298
0.568,0.5665
0.5186,0.5158
0.4825,0.4835
0.4525,0.4545
0.4327,0.4323
0.4063,0.4067
0.8582,0.858
0.8239,0.8243
0.7897,0.7906
0.7622,0.7617
0.7321,0.7335
0.7102,0.7102
0.969,0.9699
0.9576,0.9573
0.9367,0.9375
0.9206,0.9225
0.9027,0.9037
0.8833,0.8859
0.9955,0.9971
0.9927,0.9931
0.987,0.9895
0.9794,0.9797
0.9721,0.9741
0.962,0.9633
0.9998,1.0005
0.9991,1.0005
0.9979,0.9987
0.9964,0.9959
0.9945,0.9943
0.9913,0.9915
0.5507,0.5519
0.5013,0.5015
0.4642,0.4645
0.4342,0.4347
0.4144,0.4143
0.3873,0.3885
0.832,0.8317
0.799,0.8006
0.7656,0.7663
0.7382,0.739
0.7081,0.7091
0.6861,0.6861
0.9575,0.9581
0.9418,0.9429
0.9204,0.9202
0.9047,0.9064
0.8847,0.8878
0.8634,0.8652
0.9925,0.9929
0.9883,0.9893
0.9815,0.9845
0.972,0.9725
0.9639,0.9639
0.9516,0.9539
0.9994,0.9989
0.9983,1.0005
0.9966,0.9981
0.9942,0.9947
0.9912,0.9913
0.9876,0.9893
0.0532,0.0534
0.088,0.0896
0.1184,0.1187
0.1391,0.1393
0.1669,0.1676
0.6739,0.6741
0.6367,0.6351
0.6007,0.6017
0.5624,0.564
0.5445,0.5458
0.5396,0.5395
0.9564,0.9557
0.9358,0.9357
0.9058,0.9072
0.8829,0.8859
0.8564,0.8579
0.8296,0.8303
0.9975,0.9991
0.9946,0.9945
0.9879,0.9905
0.9784,0.9769
0.9678,0.9691
0.9554,0.9551
1,1.0019
0.9999,0.9987
0.9997,0.9985
0.9977,0.9985
0.9961,0.9965
0.9935,0.9953
0.0476,0.0464
0.0741,0.0758
0.1001,0.0998
0.1267,0.1281
0.6389,0.6381
0.6017,0.6021
0.5659,0.5667
0.5263,0.526
0.5102,0.5096
0.5039,0.5053
0.9325,0.9343
0.9077,0.9097
0.8771,0.8776
0.8535,0.8521
0.8264,0.8239
0.7997,0.7999
0.9929,0.9935
0.9875,0.9881
0.9793,0.9817
0.968,0.9685
0.9533,0.9539
0.9404,0.9427
1,0.9989
0.9995,0.9989
0.9982,0.9985
0.9958,0.9971
0.9923,0.9945
0.9876,0.9885
0.0336,0.0344
0.0618,0.0645
0.0943,0.0967
0.5942,0.5959
0.5568,0.5553
0.5198,0.5199
0.4808,0.4826
0.4641,0.4654
0.4598,0.4608
0.9019,0.9043
0.8752,0.8751
0.8413,0.842
0.8172,0.8189
0.7893,0.7913
0.7629,0.7629
0.987,0.9849
0.9779,0.9767
0.9637,0.9661
0.9511,0.9525
0.934,0.9355
0.9205,0.9199
0.9994,0.9999
0.9985,0.9989
0.9966,0.9983
0.9935,0.9935
0.9892,0.9879
0.9821,0.9813
0.0326,0.0352
0.063,0.0636
0.5683,0.5683
0.5307,0.5315
0.4944,0.4961
0.4548,0.4566
0.4374,0.439
0.4325,0.4332
0.8768,0.8777
0.8496,0.8501
0.8163,0.8182
0.7903,0.7895
0.7626,0.7641
0.7349,0.7356
0.9808,0.9821
0.9693,0.9699
0.9531,0.9533
0.9374,0.9369
0.9163,0.9175
0.9025,0.9033
0.9988,0.9987
0.9967,0.9989
0.9936,0.9943
0.9891,0.9907
0.9841,0.9849
0.9762,0.9773
0.0412,0.0413
0.5533,0.5536
0.5147,0.5156
0.4735,0.4752
0.4365,0.4351
0.4165,0.4161
0.4066,0.4067
0.8543,0.8555
0.8253,0.8269
0.7887,0.7894
0.7629,0.7649
0.7346,0.7355
0.7077,0.7095
0.9689,0.9697
0.9563,0.9583
0.9393,0.9381
0.9222,0.9219
0.9007,0.9009
0.8864,0.8867
0.9968,0.9989
0.9937,0.9955
0.9889,0.9907
0.9826,0.9839
0.9749,0.9737
0.9654,0.9675
0.5385,0.5393
0.496,0.4951
0.4574,0.4576
0.4221,0.4216
0.397,0.3979
0.3794,0.3802
0.8311,0.831
0.8011,0.8026
0.7645,0.7645
0.7385,0.739
0.71,0.7122
0.6819,0.6822
0.9577,0.9597
0.9414,0.9416
0.9238,0.9242
0.905,0.9052
0.8824,0.8834
0.8675,0.8682
0.9942,0.9953
0.9896,0.9889
0.9835,0.9851
0.9757,0.9777
0.9661,0.9667
0.9564,0.9587
0.0474,0.0488
0.0866,0.0894
0.1176,0.1159
0.1427,0.1424
0.1679,0.1674
0.682,0.6815
0.6371,0.637
0.6009,0.5996
0.576,0.5786
0.5613,0.5618
0.5406,0.5405
0.9549,0.9565
0.9349,0.9357
0.9108,0.9109
0.8828,0.8845
0.8565,0.8571
0.8357,0.8365
0.9983,0.9987
0.9946,0.9931
0.9891,0.9879
0.9813,0.9827
0.9696,0.9693
0.9571,0.9589
0.0424,0.0437
0.0798,0.0799
0.1012,0.1015
0.1245,0.1249
0.6369,0.6389
0.5914,0.59
0.5543,0.5549
0.5287,0.5286
0.514,0.5146
0.4958,0.4974
0.9323,0.9323
0.9076,0.9069
0.8807,0.8803
0.8512,0.8535
0.8229,0.8221
0.7977,0.7977
0.9951,0.9969
0.9891,0.9901
0.9814,0.9821
0.9724,0.9741
0.9581,0.9603
0.9435,0.9427
0.0408,0.0413
0.0637,0.0612
0.0875,0.0866
0.6048,0.6058
0.5578,0.5585
0.5179,0.5189
0.491,0.4904
0.4759,0.4785
0.4559,0.4561
0.9052,0.9051
0.8772,0.8782
0.8491,0.85
0.8197,0.8218
0.7884,0.7894
0.7636,0.7642
0.9883,0.9901
0.9791,0.9801
0.9668,0.9693
