max_distance_distributions,max_distance_sketches
0.8718,0.8718
0.8457,0.8457
0.82,0.82
0.7967,0.7967
0.9938,0.9938
0.9881,0.9881
0.9772,0.9772
0.9667,0.9667
0.9539,0.9539
0.9408,0.9408
0.9997,0.9997
0.9992,0.9992
0.9979,0.9979
0.995,0.995
0.9906,0.9906
0.9866,0.9866
1,1
1,1
0.9999,0.9999
0.9995,0.9995
0.9989,0.9989
0.9981,0.9981
0.0379,0.0379
0.0646,0.0646
0.0902,0.0902
0.6175,0.6175
0.5677,0.5677
0.5347,0.5347
0.5066,0.5066
0.485,0.485
0.4622,0.4622
0.9027,0.9027
0.8733,0.8733
0.8411,0.8411
0.8144,0.8144
0.7869,0.7869
0.7644,0.7644
0.9873,0.9873
0.9788,0.9788
0.9663,0.9663
0.9532,0.9532
0.9391,0.9391
0.9217,0.9217
0.9991,0.9991
0.998,0.998
0.9958,0.9958
0.9916,0.9916
0.9862,0.9862
0.9796,0.9796
1,1
1,1
0.9998,0.9998
0.999,0.999
0.9982,0.9982
0.9964,0.9964
0.0312,0.0312
0.0574,0.0574
0.5841,0.5841
0.5345,0.5345
0.5,0.5
0.4718,0.4718
0.451,0.451
0.4282,0.4282
0.8812,0.8812
0.8472,0.8472
0.8149,0.8149
0.7877,0.7877
0.7584,0.7584
0.7359,0.7359
0.9804,0.9804
0.9706,0.9706
0.9556,0.9556
0.9425,0.9425
0.9271,0.9271
0.9081,0.9081
0.998,0.998
0.9964,0.9964
0.9926,0.9926
0.9872,0.9872
0.981,0.981
0.973,0.973
1,1
0.9998,0.9998
0.9996,0.9996
0.9982,0.9982
0.9968,0.9968
0.9948,0.9948
0.0289,0.0289
0.568,0.568
0.5186,0.5186
0.4825,0.4825
0.4525,0.4525
0.4327,0.4327
0.4063,0.4063
0.8582,0.8582
0.8239,0.8239
0.7897,0.7897
0.7622,0.7622
0.7321,0.7321
0.7102,0.7102
0.969,0.969
0.9576,0.9576
0.9367,0.9367
0.9206,0.9206
0.9027,0.9027
0.8833,0.8833
0.9955,0.9955
0.9927,0.9927
0.987,0.987
0.9794,0.9794
0.9721,0.9721
0.962,0.962
0.9998,0.9998
0.9991,0.9991
0.9979,0.9979
0.9964,0.9964
0.9945,0.9945
0.9913,0.9913
0.5507,0.5507
0.5013,0.5013
0.4642,0.4642
0.4342,0.4342
0.4144,0.4144
0.3873,0.3873
0.832,0.832
0.799,0.799
0.7656,0.7656
0.7382,0.7382
0.7081,0.7081
0.6861,0.6861
0.9575,0.9575
0.9418,0.9418
0.9204,0.9204
0.9047,0.9047
0.8847,0.8847
0.8634,0.8634
0.9925,0.9925
0.9883,0.9883
0.9815,0.9815
0.972,0.972
0.9639,0.9639
0.9516,0.9516
0.9994,0.9994
0.9983,0.9983
0.9966,0.9966
0.9942,0.9942
0.9912,0.9912
0.9876,0.9876
0.0532,0.0532
