max_distance_distributions,max_distance_sketches
0.7199,0.7223
0.6832,0.6841
0.9596,0.9625
0.9446,0.947
0.9232,0.926
0.9045,0.9065
0.8861,0.89
0.8658,0.8694
0.9942,0.9951
0.9901,0.9912
0.9823,0.9836
0.9741,0.9765
0.9662,0.9697
0.955,0.9573
0.9991,0.9956
0.9986,0.996
0.9971,0.9962
0.9949,0.9955
0.991,0.9919
0.9873,0.9891
1,0.9951
1,0.9955
0.9997,0.9958
0.999,0.9954
0.9983,0.9952
0.9972,0.996
0.0565,0.0569
0.084,0.0843
0.1192,0.1195
0.1428,0.1435
0.1656,0.1662
0.6989,0.6993
0.6483,0.6481
0.617,0.6165
0.5892,0.5889
0.5681,0.5688
0.5453,0.5455
0.9556,0.957
0.9344,0.9378
0.9055,0.908
0.879,0.8812
0.8543,0.8566
0.8327,0.8344
0.9978,0.9953
0.9956,0.9954
0.9872,0.9901
0.9789,0.9818
0.9695,0.9704
0.9579,0.958
1,0.9958
1,0.9962
0.9996,0.9964
0.998,0.9957
0.9953,0.9961
0.9925,0.9933
1,0.9953
1,0.9957
1,0.996
0.9998,0.9956
0.9999,0.9954
0.9996,0.9962
0.0392,0.0382
0.0726,0.0731
0.0964,0.0982
0.1219,0.1222
0.6445,0.6444
0.5937,0.5932
0.5639,0.5632
0.536,0.5361
0.5169,0.5163
0.4946,0.4954
0.9301,0.9318
0.9036,0.9062
0.8718,0.8733
0.8457,0.848
0.82,0.8211
0.7967,0.7974
0.9938,0.9935
0.9881,0.9889
0.9772,0.9784
0.9667,0.9666
0.9539,0.9567
0.9408,0.9425
0.9997,0.9967
0.9992,0.9971
0.9979,0.9973
0.995,0.9966
0.9906,0.9914
0.9866,0.9867
1,0.9962
1,0.9966
0.9999,0.9969
0.9995,0.9965
0.9989,0.9963
0.9981,0.9971
0.0379,0.0392
0.0646,0.0661
0.0902,0.0914
0.6175,0.6171
0.5677,0.5671
0.5347,0.5347
0.5066,0.5065
0.485,0.4856
0.4622,0.4627
0.9027,0.9052
0.8733,0.8763
0.8411,0.8429
0.8144,0.8177
0.7869,0.7878
0.7644,0.7671
0.9873,0.9921
0.9788,0.981
0.9663,0.9665
0.9532,0.9541
0.9391,0.9401
0.9217,0.9257
0.9991,0.9966
0.998,0.997
0.9958,0.9972
0.9916,0.9925
0.9862,0.9877
0.9796,0.9813
1,0.9961
1,0.9965
0.9998,0.9968
0.999,0.9964
0.9982,0.9962
0.9964,0.997
0.0312,0.0337
0.0574,0.0582
0.5841,0.5841
0.5345,0.5344
0.5,0.501
0.4718,0.4731
0.451,0.4511
0.4282,0.4283
0.8812,0.8822
0.8472,0.8504
0.8149,0.8173
0.7877,0.789
0.7584,0.7591
0.7359,0.7384
0.9804,0.9819
0.9706,0.972
0.9556,0.9576
0.9425,0.9456
0.9271,0.9294
0.9081,0.9106
0.998,0.9974
0.9964,0.9958
0.9926,0.9935
0.9872,0.9874
0.981,0.9822
0.973,0.9762
1,0.9969
0.9998,0.9973
0.9996,0.9976
0.9982,0.9972
0.9968,0.997
0.9948,0.9958
0.0289,0.0321
0.568,0.5683
0.5186,0.5182
0.4825,0.4824
0.4525,0.4539
0.4327,0.4339
0.4063,0.4091
0.8582,0.8596
0.8239,0.8243
0.7897,0.7925
0.7622,0.7633
0.7321,0.7346
0.7102,0.7117
0.969,0.9705
0.9576,0.9604
0.9367,0.9406
0.9206,0.9242
0.9027,0.9048
0.8833,0.8862
0.9955,0.9951
0.9927,0.9955
0.987,0.9899
0.9794,0.9819
0.9721,0.9753
0.962,0.9631
0.9998,0.9946
0.9991,0.995
0.9979,0.9953
0.9964,0.9949
0.9945,0.9947
0.9913,0.9918
0.5507,0.5515
0.5013,0.5021
0.4642,0.4651
0.4342,0.4355
0.4144,0.415
0.3873,0.3886
0.832,0.832
0.799,0.7994
0.7656,0.7678
0.7382,0.7395
0.7081,0.7101
0.6861,0.6881
0.9575,0.9598
0.9418,0.9435
0.9204,0.9235
0.9047,0.9087
0.8847,0.8866
0.8634,0.8643
0.9925,0.992
0.9883,0.9892
0.9815,0.982
0.972,0.976
0.9639,0.9667
0.9516,0.9545
0.9994,0.9968
0.9983,0.9972
0.9966,0.9956
0.9942,0.9952
0.9912,0.9926
0.9876,0.9887
0.0532,0.0529
0.088,0.0904
0.1184,0.1211
0.1391,0.1399
0.1669,0.1684
0.6739,0.6737
0.6367,0.6364
0.6007,0.601
0.5624,0.5623
0.5445,0.5446
0.5396,0.5405
0.9564,0.9589
0.9358,0.9361
0.9058,0.9073
0.8829,0.8843
0.8564,0.8582
0.8296,0.8321
0.9975,0.9964
0.9946,0.9968
0.9879,0.9878
0.9784,0.982
0.9678,0.9693
0.9554,0.9591
1,0.9959
0.9999,0.9963
0.9997,0.9966
0.9977,0.9962
0.9961,0.996
0.9935,0.9934
0.0476,0.0469
0.0741,0.0738
0.1001,0.1006
0.1267,0.1274
0.6389,0.6392
0.6017,0.6013
0.5659,0.5661
0.5263,0.5266
0.5102,0.5098
0.5039,0.5042
0.9325,0.9335
0.9077,0.9105
0.8771,0.8785
0.8535,0.8557
0.8264,0.8283
0.7997,0.7999
0.9929,0.9939
0.9875,0.991
0.9793,0.9828
0.968,0.9695
0.9533,0.9538
0.9404,0.9428
1,0.9966
0.9995,0.997
0.9982,0.9973
0.9958,0.9969
0.9923,0.9935
0.9876,0.9905
0.0336,0.0334
0.0618,0.0631
0.0943,0.0947
0.5942,0.594
0.5568,0.5562
0.5198,0.5202
0.4808,0.4804
0.4641,0.4638
0.4598,0.4595
0.9019,0.9038
0.8752,0.8765
0.8413,0.844
0.8172,0.8195
0.7893,0.7907
0.7629,0.7637
0.987,0.991
0.9779,0.981
0.9637,0.9653
0.9511,0.9535
0.934,0.9361
0.9205,0.9216
0.9994,0.9963
0.9985,0.9967
0.9966,0.997
0.9935,0.9934
0.9892,0.9904
0.9821,0.9825
0.0326,0.0335
0.063,0.0659
0.5683,0.568
0.5307,0.5305
0.4944,0.4942
0.4548,0.455
0.4374,0.4369
0.4325,0.4322
0.8768,0.8786
0.8496,0.852
0.8163,0.82
0.7903,0.7923
0.7626,0.7642
0.7349,0.7375
0.9808,0.9822
0.9693,0.9724
0.9531,0.9546
0.9374,0.9407
0.9163,0.9199
0.9025,0.9043
0.9988,0.9967
0.9967,0.9971
0.9936,0.9953
0.9891,0.9909
0.9841,0.9855
0.9762,0.9796
0.0412,0.0431
0.5533,0.5525
0.5147,0.5139
0.4735,0.4739
0.4365,0.4365
0.4165,0.4166
0.4066,0.4065
0.8543,0.8541
0.8253,0.8286
0.7887,0.7915
0.7629,0.7636
0.7346,0.7361
0.7077,0.7089
0.9689,0.9717
0.9563,0.9571
0.9393,0.9432
0.9222,0.9249
0.9007,0.9043
0.8864,0.8898
0.9968,0.9957
0.9937,0.9961
0.9889,0.9896
0.9826,0.9852
0.9749,0.9756
0.9654,0.9677
0.5385,0.5395
0.496,0.497
0.4574,0.4578
0.4221,0.422
0.397,0.3986
0.3794,0.3805
0.8311,0.8331
0.8011,0.8027
0.7645,0.767
0.7385,0.7404
0.71,0.711
0.6819,0.6834
0.9577,0.9615
0.9414,0.9441
0.9238,0.9248
0.905,0.9084
0.8824,0.8855
0.8675,0.8708
0.9942,0.9937
0.9896,0.9941
0.9835,0.9861
0.9757,0.9757
0.9661,0.9697
0.9564,0.957
0.0474,0.0485
0.0866,0.0861
0.1176,0.118
0.1427,0.1435
0.1679,0.1682
0.682,0.6822
0.6371,0.6371
0.6009,0.6003
0.576,0.5758
0.5613,0.5615
0.5406,0.5402
0.9549,0.9566
0.9349,0.938
0.9108,0.913
0.8828,0.8849
0.8565,0.8572
0.8357,0.838
0.9983,0.9954
0.9946,0.9958
0.9891,0.9897
0.9813,0.9841
0.9696,0.9714
0.9571,0.96
0.0424,0.0423
0.0798,0.0792
0.1012,0.1021
0.1245,0.1269
0.6369,0.6367
0.5914,0.5916
0.5543,0.5538
0.5287,0.5277
0.514,0.5146
0.4958,0.4968
0.9323,0.9358
0.9076,0.9093
0.8807,0.8826
0.8512,0.8534
0.8229,0.8257
0.7977,0.7994
0.9951,0.9934
0.9891,0.9898
0.9814,0.9834
0.9724,0.9723
0.9581,0.9596
0.9435,0.9446
0.0408,0.042
0.0637,0.0646
0.0875,0.0897
0.6048,0.6049
0.5578,0.5576
0.5179,0.5188
0.491,0.4911
0.4759,0.4763
0.4559,0.4566
